query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
133.0861495,HMDB0001975,2-Ethyl-2-Hydroxybutyric acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0033851,"4,4-Dimethoxy-2-butanone",n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0000409,(5R)-5-Hydroxyhexanoic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0000317,2-Hydroxy-3-methylpentanoic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0012843,6-Hydroxyhexanoic acid,C06103,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0059770,Threo-3-Hydroxy-2-methylbutyric acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0041844,Butoxyacetic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0029166,2-Methyl-3-hydroxyvaleric acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0165040,3-hydroxy-3-methylpentanoic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0010718,(R)-3-Hydroxyhexanoic acid,n/a,C6H12O3,132.07864425,M+H,+,133.08592,2
133.0861495,HMDB0062045,"hexane-1,2,5,6-tetrol",n/a,C6H14O4,150.089208931,M+H-H2O,+,133.086509,3
133.0861495,HMDB0062118,"hexane-1,2,5,6-tetrol",n/a,C6H14O4,150.089208931,M+H-H2O,+,133.086509,3
134.0807475,HMDB0128943,(2E)-4-hydroxy-3-methylbut-2-enoic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0132477,2-(hydroxymethyl)but-2-enoic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0129097,4-hydroxy-2-methylbut-2-enoic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0168839,2-HYDROXYETHYL ACRYLATE,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0128916,4-hydroxy-3-methylbut-2-enoic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0012233,Glutarate semialdehyde,C03273,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0029172,2-Methylacetoacetic acid,n/a,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0001865,2-Oxovaleric acid,C06255,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0000310,Methylacetoacetic acid,n/a,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0031643,Ethyl pyruvate,n/a,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0000019,alpha-Ketoisovaleric acid,C00141,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0003771,2-Methylacetoacetic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0000720,Levulinic acid,n/a,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0034466,Acetoxyacetone,n/a,C5H8O3,116.047344122,M+NH4,+,134.081167,3
134.0807475,HMDB0128917,dimethyloxirane-2-carboxylic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0129096,(2Z)-2-(hydroxymethyl)but-2-enoic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0129098,"2,3-dimethyloxirane-2-carboxylic acid",n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0168838,"Ethyl 2,3-epoxypropanoate",n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0177210,4-hydroxytiglic acid,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0169666,SCHEMBL4558754,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0177209,2-Hydroxymethyl-trans-crotonsaeure,n/a,C5H8O3,116.047344118,M+NH4,+,134.081167,3
134.0807475,HMDB0171727,4-amino-4-methoxybutanoic acid,n/a,C5H11NO3,133.073893218,M+H,+,134.081169,3
134.0807475,HMDB0032356,N-Lactoyl ethanolamine,n/a,C5H11NO3,133.073893223,M+H,+,134.081169,3
134.0807475,HMDB0039499,"1,4-Dideoxy-1,4-imino-D-ribitol",n/a,C5H11NO3,133.073893223,M+H,+,134.081169,3
134.0807475,HMDB0031658,L-2-Amino-5-hydroxypentanoic acid,n/a,C5H11NO3,133.073893223,M+H,+,134.081169,3
135.0301926,HMDB0039790,Tetrahydro-2-methyl-3-thiophenethiol,n/a,C5H10S2,134.0223917,M+H,+,135.029668,4
135.0301926,HMDB0038974,"3,3-Dimethyl-1,2-dithiolane",n/a,C5H10S2,134.0223917,M+H,+,135.029668,4
135.0301926,HMDB0039789,Tetrahydro-2-methyl-2-thiophenethiol,n/a,C5H10S2,134.0223917,M+H,+,135.029668,4
135.0301926,HMDB0000786,Oxypurinol,C07599,C5H4N4O2,152.033425392,M+H-H2O,+,135.030725,4
135.0301926,HMDB0000292,Xanthine,C00385,C5H4N4O2,152.033425392,M+H-H2O,+,135.030725,4
135.0301926,HMDB0001182,"6,8-Dihydroxypurine",n/a,C5H4N4O2,152.033425392,M+H-H2O,+,135.030725,4
135.0301926,HMDB0000744,Malic acid,C03668,C4H6O5,134.021523302,M+H,+,135.028799,10
135.0301926,HMDB0031518,D-Malic acid,C00497,C4H6O5,134.021523302,M+H,+,135.028799,10
135.0301926,HMDB0000156,L-Malic acid,C00149,C4H6O5,134.021523302,M+H,+,135.028799,10
135.0301926,HMDB0032872,Velcorin,n/a,C4H6O5,134.021523302,M+H,+,135.028799,10
135.0301926,HMDB0061971,"1-(2H-1,2,3,4-tetrazol-2-yl)ethan-1-one",n/a,C3H4N4O,112.038510765,M+Na,+,135.027729,18
146.1171354,HMDB0166738,3-butyloxirane-2-carbaldehyde,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0164724,4-Hydroxy-4-methylcyclohexanone,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165094,3-(Hydroxymethyl)cyclohexanone,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165096,SCHEMBL443446,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165095,3-Hydroxy-3-methylcyclohexan-1-one,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165097,SCHEMBL13284055,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0166737,6-Hydroxy-2-heptenal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0031484,2-Heptenoic acid,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0038962,Ethyl tiglate,C08487,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031500,Methyl 2E-hexenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
