query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
146.1171354,HMDB0059876,Pantolactone,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0040591,Allyl butyrate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0145113,SCHEMBL4034937,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145114,"1-(piperidin-1-yl)ethane-1,2-diol",n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145115,5-[(2-hydroxyethyl)amino]pentanal,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145125,1-(2-hydroxyethyl)piperidin-3-ol,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145116,SCHEMBL10818580,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0094649,L-2-aminoheptanoic acid,n/a,C7H15NO2,145.110278729,M+H,+,146.117555,3
146.1171354,HMDB0001161,4-Trimethylammoniobutanoic acid,C01181,C7H15NO2,145.110278729,M+H,+,146.117555,3
146.1171354,HMDB0006831,4-Trimethylammoniobutanoic acid,C01181,C7H15NO2,145.110278729,M+H,+,146.117555,3
146.1171354,HMDB0000895,Acetylcholine,C01996,C7H16NO2,146.118103761,M+H,+,146.118104,7
146.1171354,HMDB0013811,1-Nitroheptane,n/a,C7H16NO2,146.118103761,M+H,+,146.118104,7
148.0607627,HMDB0062183,N-lactoyl-glycine,n/a,C5H9NO4,147.053157774,M+H,+,148.060434,2
148.0607627,HMDB0002393,N-Methyl-D-aspartic acid,C12269,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0003011,O-Acetylserine,C00979,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0003339,D-Glutamic acid,C00217,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0006556,L-4-Hydroxyglutamate semialdehyde,C05938,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0060475,DL-Glutamate,C00302,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0033550,3-(Carboxymethylamino)propanoic acid,n/a,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0002931,N-Acetylserine,n/a,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0000148,L-Glutamic acid,C00025,C5H9NO4,147.053157781,M+H,+,148.060434,2
148.0607627,HMDB0156263,glutamate(1-),n/a,C5H8NO4,146.045881322,M+H,+,148.060433,2
148.0607627,HMDB0000634,Citraconic acid,C02226,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0060365,"2,5-Dioxopentanoate",C00433,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0000620,Glutaconic acid,C02214,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0061185,Glutaconic acid,C02214,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0033809,Methyl hydrogen fumarate,n/a,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0013233,Gamma-delta-Dioxovaleric acid,C02800,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0059743,2-Hydroxyglutaric acid lactone,n/a,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0000749,Mesaconic acid,C01732,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0002092,Itaconic acid,C00490,C5H6O4,130.02660868,M+NH4,+,148.060432,2
148.0607627,HMDB0000897,7-Methylguanine,C02242,C6H7N5O,165.065059871,M+H-H2O,+,148.06236,11
148.0607627,HMDB0001566,3-Methylguanine,C02230,C6H7N5O,165.065059871,M+H-H2O,+,148.06236,11
148.0607627,HMDB0003282,1-Methylguanine,C04152,C6H7N5O,165.065059871,M+H-H2O,+,148.06236,11
148.0607627,HMDB0006040,N2-Methylguanine,C04153,C6H7N5O,165.065059871,M+H-H2O,+,148.06236,11
162.11237,HMDB0165786,2(5)-ethyl-4-hydroxy-5(2)-methyl-3(2H)-furanone (ethylfuraneol),n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166497,(4Z)-6-hydroxyhept-4-enoic acid,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166498,(4Z)-3-hydroxyhept-4-enoic acid,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166499,SCHEMBL7994854,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166500,SCHEMBL2623082,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0164728,4-hydroxy-4-(hydroxymethyl)cyclohexan-1-one,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0163403,5-ethyl-3-hydroxy-4-methyloxolan-2-one,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0164729,"2,4-dihydroxy-4-methylcyclohexan-1-one",n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166501,(4Z)-2-hydroxyhept-4-enoic acid,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0031176,Tetrahydrofurfuryl acetate,n/a,C7H12O3,144.07864425,M+NH4,+,162.112467,1
162.11237,HMDB0040433,Ethyl levulinate,n/a,C7H12O3,144.07864425,M+NH4,+,162.112467,1
162.11237,HMDB0036594,Botryodiplodin,n/a,C7H12O3,144.07864425,M+NH4,+,162.112467,1
162.11237,HMDB0037114,Methyl (R)-3-methyl-2-oxopentanoate,n/a,C7H12O3,144.07864425,M+NH4,+,162.112467,1
162.11237,HMDB0001988,4-Hydroxycyclohexylcarboxylic acid,n/a,C7H12O3,144.07864425,M+NH4,+,162.112467,1
162.11237,HMDB0166747,SCHEMBL9008708,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166744,(2E)-4-hydroxyhept-2-enoic acid,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166746,ACMC-20mulz,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0061990,2-hydroxycyclohexanecarboxylic acid,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0166745,(2E)-6-hydroxyhept-2-enoic acid,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0172013,"4-methoxy-2,5-dimethyloxolan-3-one",n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0180327,(2E)-3-[3-(2-hydroxyethyl)oxiran-2-yl]prop-2-en-1-ol,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0180326,(2E)-3-[3-(1-hydroxyethyl)oxiran-2-yl]prop-2-en-1-ol,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0180835,pentyl 2-oxoacetate,n/a,C7H12O3,144.078644246,M+NH4,+,162.112467,1
162.11237,HMDB0000062,L-Carnitine,C00318,C7H15NO3,161.105193351,M+H,+,162.112469,1
162.11237,HMDB0062496,L-Carnitine,C00318,C7H15NO3,161.105193351,M+H,+,162.112469,1
162.11237,HMDB0145126,5-[(2-hydroxyethyl)amino]pentanoic acid,n/a,C7H15NO3,161.105193347,M+H,+,162.112469,1
162.11237,HMDB0155786,Carnitine,C00487,C7H16NO3,162.113018383,M+H,+,162.113018,4
162.11237,HMDB0062634,(S)-carnitinium,n/a,C7H16NO3,162.113018383,M+H,+,162.113018,4
187.0577926,HMDB0010207,UNII-5HJQ8VCB2N,C00861,C6H12O5,164.068473486,M+Na,+,187.057691,1
187.0577926,HMDB0124735, β-L-fucopyranose,n/a,C6H12O5,164.068473486,M+Na,+,187.057691,1
187.0577926,HMDB0240304,alpha-D-rhamnose,C01684,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0062489,L-Fucose-1P,n/a,C6H12O5,164.068473486,M+Na,+,187.057691,1
187.0577926,HMDB0059625,beta-L-Fucose,n/a,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0029196,D-Fucose,C01018,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0000174,alpha-L-Fucose,C01019,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0059624,alpha-L-Fucose,C01019,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0033821,2-O-Methyl-D-xylose,n/a,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0000849,Rhamnose,C00507,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0003081,beta-D-Fucose,C02095,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0012327,2-Deoxygalactopyranose,C02781,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0002712,"1,5-Anhydrosorbitol",C07326,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0062477,2-Deoxyglucose,n/a,C6H12O5,164.068473486,M+Na,+,187.057691,1
187.0577926,HMDB0062498,2-Deoxyglucose,n/a,C6H12O5,164.068473486,M+Na,+,187.057691,1
187.0577926,HMDB0062499,2-Deoxyglucose,n/a,C6H12O5,164.068473486,M+Na,+,187.057691,1
187.0577926,HMDB0005876,3-Deoxyfructose,n/a,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0060267,L-Fuculose,C01721,C6H12O5,164.068473494,M+Na,+,187.057691,1
187.0577926,HMDB0033050,Butyl isopropyl disulfide,n/a,C7H16S2,164.069341892,M+Na,+,187.05856,4
187.0577926,HMDB0033051,Butyl propyl disulfide,n/a,C7H16S2,164.069341892,M+Na,+,187.05856,4
187.0577926,HMDB0039783,1-(Methylthio)-1-hexanethiol,n/a,C7H16S2,164.069341892,M+Na,+,187.05856,4
187.0577926,HMDB0132202,"2,4-dimethoxyphloroglucinol",n/a,C8H10O5,186.052823422,M+H,+,187.060099,12
187.0577926,HMDB0041026,Erinapyrone C,n/a,C8H10O5,186.05282343,M+H,+,187.060099,12
187.0577926,HMDB0041031,"3,5,6-Trihydroxy-5-(hydroxymethyl)-2-methoxy-2-cyclohexen-1-one",n/a,C8H12O6,204.063388116,M+H-H2O,+,187.060688,15
215.0161565,HMDB0149524,ACMC-20mker,n/a,C6H8O7,192.027002598,M+Na,+,215.016221,0
215.0161565,HMDB0041862,"D-Glucaro-1,4-lactone",n/a,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0062803,"4,5,6-trihydroxy-2,3-dioxohexanoic acid",n/a,C6H8O7,192.027002598,M+Na,+,215.016221,0
215.0161565,HMDB0000094,Citric acid,C00158,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0000193,Isocitric acid,C00311,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0001874,D-threo-Isocitric acid,C00451,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0005971,Diketogulonic acid,C04575,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0006511,"2,3-Diketo-L-gulonate",C04575  ,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0033717,"(1R,2R)-Isocitric acid",C04617,C6H8O7,192.02700261,M+Na,+,215.016221,0
215.0161565,HMDB0035145,Chrycolide,n/a,C12H8O3S,232.019414812,M+H-H2O,+,215.016715,3
215.0161565,HMDB0180803,(2Z)-3-[5-(prop-1-yn-1-yl)thiophen-2-yl]prop-2-enoic acid,n/a,C10H8O2S,192.024500672,M+Na,+,215.013719,11
215.0161565,HMDB0168872,(2E)-5-(5-methylthiophen-2-yl)pent-2-en-4-ynoic acid,n/a,C10H8O2S,192.024500672,M+Na,+,215.013719,11
215.0161565,HMDB0033845,(Z)-5-[(5-Methyl-2-thienyl)methylene]-2(5H)-furanone,n/a,C10H8O2S,192.02450019,M+Na,+,215.013718,11
223.1691823,HMDB0035593,Rishitin,C09715,C14H22O2,222.161979948,M+H,+,223.169256,0
223.1691823,HMDB0037605,"(10betaH,11xi)-11-Hydroxy-13-nor-6-eremophilen-8-one",n/a,C14H22O2,222.161979948,M+H,+,223.169256,0
223.1691823,HMDB0036790,Kobusone,n/a,C14H22O2,222.161979948,M+H,+,223.169256,0
223.1691823,HMDB0036791,Isokobusone,n/a,C14H22O2,222.161979948,M+H,+,223.169256,0
