"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"2094",491.87616047517,491.875537367109,491.877803535597,1535.96499999998,1534.908,1538.26899999998,21,6,7,8,37160.5665484063,35584.6147641439,30760.1244388147,29143.9714079468,32664.0687781018,18050.6754045369,30504.1283119328,24134.8109067767,48622.3734091114,25909.8996498395,29510.8674337374,40118.0959690349,18092.0290659824,60493.5611375227,18650.8289356752,17470.483334041,26075.8066683851,34704.5825343163,55455.0739399445,27568.0569210331,19812.250473696,24111.5196968544,45364.0300801772,37778.256741495,34027.7086628786,26458.1456461238,34069.3803134461
"2095",492.003484131401,492.002393967587,492.004447158429,1360.2465,1358.89600000002,1362.227,14,4,4,6,23037.1786461708,24044.3919213795,21926.91237596,25936.8823484055,27073.7191264459,18335.1066611988,20901.1155527027,17911.5219523601,27298.1003848081,16447.4828902889,19551.245299388,32148.7545630213,14213.0054972914,41306.5957650974,11332.1452302152,16056.2287756821,20425.3010628022,20542.1201226688,26017.7541282602,17349.7974339505,13220.6690809598,15717.5785102785,28676.1611005163,29074.3004489253,28168.5021113517,19794.8976373784,22968.1079764278
"2096",492.349666589295,492.348576348098,492.351111796119,1264.90699999998,1263.53599999998,1266.32200000002,27,7,10,10,59818.2037607319,58201.3692879056,57126.9446942145,48199.6734362291,56822.9071101953,56561.0787006165,53835.4852030828,43438.058004757,73622.351410299,45352.1826928503,46757.7069329442,67274.9582852376,27542.1667180016,111694.094278809,28230.9672117781,44570.7801244974,62735.7307631906,52127.0313250398,74383.3843550577,44175.2585110416,36684.6711102272,43502.8007082158,78250.5806557476,71453.682618279,56637.0660823738,50406.9624505459,56482.1325644932
"2097",492.363893397671,492.363030277527,492.365006836162,1363.55149999998,1361.642,1378.23,28,7,10,10,276237.723173792,235930.238708274,306724.772066371,291475.222130841,287999.611011179,265720.92256279,274973.702744127,239121.375349048,313688.325104535,244013.583053371,277524.764497576,279374.027794582,164449.380117516,532339.921014558,153349.087855681,232370.574126074,309114.297373811,221339.928001622,447810.399910694,174021.698951526,202792.09991336,223416.978754776,444641.193414958,302020.658347431,308255.73690549,261187.391015745,329044.85000058
"2098",492.838028441144,492.836859546225,492.839039371259,1080.31400000002,1078.235,1081.51599999998,17,7,4,6,29288.4620818862,25146.5502725911,27001.4456917647,25872.9540866658,27459.3627571142,25880.7185813767,24257.5311352533,22692.8559675791,22359.4756506414,24508.170577381,14810.9810855867,30442.3459057046,7024.1623577961,68065.5627767314,7582.61762474741,20822.4394876843,34518.62126148,25754.508928693,24565.0404458928,24345.5245054374,17668.1814407384,19097.899545908,23188.6631170674,32966.5071824657,14926.4014802675,23519.8224453883,14723.6753926205
"2099",492.847022436308,492.845587147183,492.847982660585,82.55149999998,81.69600000002,83.62400000002,16,3,5,8,9817.32448354666,9288.52325122514,9548.70997639913,9717.00241301206,8595.71525128121,8721.19495363241,9679.97144347123,11347.4903780884,12266.7203635712,10191.0086214524,14704.8776084434,11096.3531246048,10040.5829990984,5101.92503518238,2233.20513131702,7527.56534553271,10998.8403512809,13525.0518001953,12555.2932860022,9196.1025285478,11407.2822360966,8718.38515233943,11422.4862816109,9210.53833570867,13422.9883962781,13406.3502598572,10756.8429254043
"2100",492.866465973119,492.865201731905,492.867309082363,1363.55799999998,1362.22699999998,1364.86099999998,27,7,10,10,189120.657809289,168426.773241129,116826.915894921,149725.056711842,107008.432704426,133021.928257271,142124.823219568,122835.571241682,228364.67656344,125580.671021889,146247.887656387,182743.590162797,85146.281917831,274634.921674907,83628.7512562835,117993.395795892,157334.143586318,155000.840155434,232142.092109881,130964.067572969,105132.07561561,118827.986302583,224586.278858003,135223.923352818,158657.064144795,135517.663346565,171326.878721175
"2101",493.298469237915,493.297530737718,493.299605405135,810.08400000002,808.28399999998,811.90199999998,25,7,8,10,54022.6164264405,53238.0929382182,55150.6536694895,53131.4827532242,55324.5478142068,57792.247210295,56424.1355000184,45427.9036595432,40865.8207674599,44824.0092163103,26945.1564683533,58185.0038219039,15847.8516747787,169438.600795842,17063.7576696259,46794.7492414666,72885.359123356,44326.0286061262,42773.2242003923,53141.4661067487,36668.9412869557,44170.504099638,49181.139072647,67342.953617681,31103.7492123359,61584.4902095028,33908.5288475465
"2102",493.322073063922,493.319661345713,493.322650556429,1392.9,1392.23800000002,1393.21400000002,7,5,2,0,7684.65521221194,7526.25909101463,7982.02894787631,7981.11330855555,8308.94851518115,6611.24065087013,7838.10962621906,5367.20619022846,4780.73150227302,4431.80028543539,4529.38289353872,6400.18506104127,9209.37753391515,8430.02550277945,2331.85841387846,4894.42853341003,9838.73328901816,4493.17831794007,3542.88461696605,5121.71692876849,4001.52487311761,4390.97710265219,7279.54541613658,7154.57644115057,4039.35018279155,6282.65165271031,4675.30287322485
"2103",493.336932484618,493.336128192211,493.338706294535,1414.2435,1413.24500000002,1415.012,10,3,4,3,30992.2430900425,29798.963450306,32405.9388675108,31682.4487692887,33303.9753092087,33115.8874699341,29742.9032046066,24966.3721431689,43049.8976907402,25399.7517831048,28776.0161007362,39474.6383400794,19633.6721723203,59585.9910742522,16599.1201748687,27652.1996128599,41062.2708280634,28790.5097549222,42716.0297379869,25385.3283964965,21481.1619033886,26358.0386482535,44839.4009761994,40514.2963657914,37601.0161466857,32290.1089566997,39336.6182179056
