"population","pop_name","sample","vaccine_status","percentage"
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_6059_12wks","vaccinated",0.0179185779816514
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_7488_12wks","control",0.0643966835707961
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_7554_12wks","control",0.04358597907873
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_9739_12wks","control",0.0193124758594052
"Pop13","CD3+CD8+CD45RA+SLADQ+(negative all other markers)","Minipig_9947_12wks","vaccinated",0.0167176155903707
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_1817_30DPI","vaccinated",0.534345233485635
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_3273_30DPI","control",1.61149480034929
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_4515_30DPI","vaccinated",0.533231765378023
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_4754_30DPI","control",0.263339394319393
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.280813137171113
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_6059_30DPI","vaccinated",0.471443965517241
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_7488_30DPI","control",0.922203830692835
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_7554_30DPI","control",1.26089663760897
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_9739_30DPI","control",0.282954434578983
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_9947_30DPI","vaccinated",0.343775722655304
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_1817_12wks","vaccinated",0.151547297911678
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_3273_12wks","control",0.158422115727356
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_4515_12wks","vaccinated",0.183191099593405
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_4754_12wks","control",0.166270235318569
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_5273_12wks","vaccinated",0.194883533888081
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_6059_12wks","vaccinated",0.139764908256881
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_7488_12wks","control",0.185140465266039
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_7554_12wks","control",0.181225913011562
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_9739_12wks","control",0.108149864812669
"Pop14","CD3+CD8+SLADQ+(negative all other markers)","Minipig_9947_12wks","vaccinated",0.0955292319449752
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_1817_30DPI","vaccinated",0.387206690931619
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_3273_30DPI","control",0.582678415495753
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_4515_30DPI","vaccinated",0.36183584079223
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_4754_30DPI","control",0.291554329425042
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.189243635919663
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_6059_30DPI","vaccinated",0.336745689655172
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_7488_30DPI","control",0.500512335461496
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_7554_30DPI","control",1.46326276463263
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_9739_30DPI","control",0.341496731388428
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_9947_30DPI","vaccinated",0.67786762213722
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_1817_12wks","vaccinated",0.00606189191646713
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_3273_12wks","control",0.00396055289318389
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_4515_12wks","vaccinated",0
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_4754_12wks","control",0.00692792647160705
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_5273_12wks","vaccinated",0.00309338942679494
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_6059_12wks","vaccinated",0
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_7488_12wks","control",0.016099170892699
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_7554_12wks","control",0.00688199669664159
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_9739_12wks","control",0.0154499806875241
"Pop15","CD3+CD8+SLADQ+CD172(negative all other markers)","Minipig_9947_12wks","vaccinated",0
"Pop16","CD3+CD4+(negative all other markers)","Minipig_1817_30DPI","vaccinated",10.2532331758693
"Pop16","CD3+CD4+(negative all other markers)","Minipig_3273_30DPI","control",11.4598713979519
"Pop16","CD3+CD4+(negative all other markers)","Minipig_4515_30DPI","vaccinated",2.43763092744239
"Pop16","CD3+CD4+(negative all other markers)","Minipig_4754_30DPI","control",0.755533262273497
"Pop16","CD3+CD4+(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.134301935168793
"Pop16","CD3+CD4+(negative all other markers)","Minipig_6059_30DPI","vaccinated",4.78178879310345
"Pop16","CD3+CD4+(negative all other markers)","Minipig_7488_30DPI","control",12.2526996137779
"Pop16","CD3+CD4+(negative all other markers)","Minipig_7554_30DPI","control",0.825031133250311
"Pop16","CD3+CD4+(negative all other markers)","Minipig_9739_30DPI","control",1.25865938140306
"Pop16","CD3+CD4+(negative all other markers)","Minipig_9947_30DPI","vaccinated",7.93105117900547
"Pop16","CD3+CD4+(negative all other markers)","Minipig_1817_12wks","vaccinated",19.1070833207044
"Pop16","CD3+CD4+(negative all other markers)","Minipig_3273_12wks","control",24.2425442591786
"Pop16","CD3+CD4+(negative all other markers)","Minipig_4515_12wks","vaccinated",18.1627273133461
