"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0059868","NA","NA","NA","NA","NA","0"
"HMDB0032440","Nonanal propyleneglycol acetal","HMDB0032440","95572",NA,"CCCCCCCCC1OCC(O1)C","1"
"HMDB0061988","NA","NA","NA","NA","NA","0"
"HMDB0035410","(R)-Dihydrocitronellol acetate","HMDB0035410","30249",NA,"CC(C)CCCC(C)CCOC(=O)C","1"
"HMDB0000638","Dodecanoic acid","HMDB0000638","3893","C02679","CCCCCCCCCCCC(=O)O","1"
"HMDB0040166","NA","NA","NA","NA","NA","0"
"HMDB0030998","Ethyl decanoate","HMDB0030998","8048",NA,"CCCCCCCCCC(=O)OCC","1"
"HMDB0034137","Octyl 2-methylpropanoate","HMDB0034137","61024",NA,"CCCCCCCCOC(=O)C(C)C","1"
"HMDB0036225","NA","NA","NA","NA","NA","0"
"HMDB0034136","Octyl butanoate","HMDB0034136","61030",NA,"CCCCCCCCOC(=O)CCC","1"
"HMDB0034128","Isopropyl nonanoate","HMDB0034128","119911",NA,"CCCCCCCCC(=O)OC(C)C","1"
"HMDB0032310","2-Heptyl butyrate","HMDB0032310","89307",NA,"CCCCCC(CC)OC(=O)CCC","1"
"HMDB0168119","NA","NA","NA","NA","NA","0"
"HMDB0168120","NA","NA","NA","NA","NA","0"
"HMDB0168121","NA","NA","NA","NA","NA","0"
"HMDB0015050","Phenformin","HMDB0015050","8249","C07673","C1=CC=C(C=C1)CCN=C(N)N=C(N)N","1"
"HMDB0004231","Pantothenol","HMDB0004231","4678","C05944","CC(C)(CO)C(C(=O)NCCCO)O","1"
"HMDB0038259","NA","NA","NA","NA","NA","0"
"HMDB0032342","Isobornyl isobutyrate","HMDB0032342","11264589",NA,"CC(C)C(=O)O[C@H]1C[C@@H]2CC[C@]1(C2(C)C)C","1"
"HMDB0032053","alpha-Terpineol butanoate","HMDB0032053","578423",NA,"CCCC(=O)OC(C)(C)C1CCC(=CC1)C","1"
"HMDB0030427","Linalyl butyrate","HMDB0030427","62321",NA,"CCCC(=O)OC(C)(CCC=C(C)C)C=C","1"
"HMDB0038260","NA","NA","NA","NA","NA","0"
"HMDB0038246","NA","NA","NA","NA","NA","0"
"HMDB0036424","NA","NA","NA","NA","NA","0"
"HMDB0037814","NA","NA","NA","NA","NA","0"
"HMDB0032524","Terpinyl isobutyrate","HMDB0032524","522673",NA,"CC1=CCC(CC1)C(C)(C)OC(=O)C(C)C","1"
"HMDB0031015","Ethyl (2E,6Z)-dodecadienoate","HMDB0031015","6438206",NA,"CCCCC/C=C\CC/C=C/C(=O)OCC","1"
"HMDB0030426","Linalyl isobutyrate","HMDB0030426","6532",NA,"CC(C)C(=O)OC(C)(CCC=C(C)C)C=C","1"
"HMDB0000560","5,8-Tetradecadienoic acid","HMDB0000560","5312409",NA,"CCCCC/C=C\C/C=C\CCCC(=O)O","1"
"HMDB0039129","NA","NA","NA","NA","NA","0"
"HMDB0159801","NA","NA","NA","NA","NA","0"
"HMDB0159802","NA","NA","NA","NA","NA","0"
"HMDB0176319","NA","NA","NA","NA","NA","0"
"HMDB0176320","NA","NA","NA","NA","NA","0"
"HMDB0159803","NA","NA","NA","NA","NA","0"
"HMDB0159799","NA","NA","NA","NA","NA","0"
"HMDB0159800","NA","NA","NA","NA","NA","0"
"HMDB0030982","6-Ketomyristic acid","HMDB0030982","454063",NA,"CCCCCCCCC(=O)CCCCC(=O)O","1"
"HMDB0010730","3-Oxotetradecanoic acid","HMDB0010730","454064",NA,"CCCCCCCCCCCC(=O)CC(=O)O","1"
"HMDB0032370","L-Menthyl (R,S)-3-hydroxybutyrate","HMDB0032370","10220444",NA,"C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CC(C)O)C(C)C","1"
