"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0163686","NA","NA","NA","NA","NA","0"
"HMDB0163690","NA","NA","NA","NA","NA","0"
"HMDB0161121","NA","NA","NA","NA","NA","0"
"HMDB0161119","NA","NA","NA","NA","NA","0"
"HMDB0161120","NA","NA","NA","NA","NA","0"
"HMDB0161118","NA","NA","NA","NA","NA","0"
"HMDB0167299","NA","NA","NA","NA","NA","0"
"HMDB0012267","N-Succinyl-L,L-2,6-diaminopimelate","HMDB0012267","25202447","C04421","C(C[C@@H](C(=O)O)NC(=O)CCC(=O)O)CC(C(=O)O)N","1"
"HMDB0032992","Furaneol 4-glucoside","HMDB0032992","14259114",NA,"CC1OC(C)=C(OC2OC(CO)C(O)C(O)C2O)C1=O","1"
"HMDB0179393","NA","NA","NA","NA","NA","0"
"HMDB0179378","NA","NA","NA","NA","NA","0"
"HMDB0179374","NA","NA","NA","NA","NA","0"
"HMDB0179371","NA","NA","NA","NA","NA","0"
"HMDB0179368","NA","NA","NA","NA","NA","0"
"HMDB0179370","NA","NA","NA","NA","NA","0"
"HMDB0179366","NA","NA","NA","NA","NA","0"
"HMDB0031304","Osmundalin","HMDB0031304","5249536",NA,"CC1C(C=CC(=O)O1)OC2C(C(C(C(O2)CO)O)O)O","1"
"HMDB0179364","NA","NA","NA","NA","NA","0"
"HMDB0163718","NA","NA","NA","NA","NA","0"
"HMDB0169674","NA","NA","NA","NA","NA","0"
"HMDB0169701","NA","NA","NA","NA","NA","0"
"HMDB0163365","NA","NA","NA","NA","NA","0"
"HMDB0163366","NA","NA","NA","NA","NA","0"
"HMDB0163368","NA","NA","NA","NA","NA","0"
"HMDB0163372","NA","NA","NA","NA","NA","0"
"HMDB0165598","NA","NA","NA","NA","NA","0"
"HMDB0165599","NA","NA","NA","NA","NA","0"
"HMDB0165602","NA","NA","NA","NA","NA","0"
"HMDB0165606","NA","NA","NA","NA","NA","0"
"HMDB0013854","N4-Acetylsulfamethoxazole","HMDB0013854","80641","C13061","CC1=CC(=CC(=C1NC(=O)C)C)O","1"
"HMDB0167783","NA","NA","NA","NA","NA","0"
"HMDB0167780","NA","NA","NA","NA","NA","0"
"HMDB0034058","Quinacridone","HMDB0034058","13976",NA,"C1=CC=C2C(=C1)C(=O)C3=CC4=C(C=C3N2)C(=O)C5=CC=CC=C5N4","1"
"HMDB0178297","NA","NA","NA","NA","NA","0"
"HMDB0178295","NA","NA","NA","NA","NA","0"
"HMDB0128029","NA","NA","NA","NA","NA","0"
"HMDB0171101","NA","NA","NA","NA","NA","0"
"HMDB0151544","NA","NA","NA","NA","NA","0"
"HMDB0151545","NA","NA","NA","NA","NA","0"
"HMDB0131260","NA","NA","NA","NA","NA","0"
"HMDB0240531","NA","NA","NA","NA","NA","0"
"HMDB0240529","NA","NA","NA","NA","NA","0"
"HMDB0131259","NA","NA","NA","NA","NA","0"
"HMDB0131258","NA","NA","NA","NA","NA","0"
"HMDB0128028","NA","NA","NA","NA","NA","0"
"HMDB0040621","NA","NA","NA","NA","NA","0"
"HMDB0180003","NA","NA","NA","NA","NA","0"
"HMDB0126429","NA","NA","NA","NA","NA","0"
"HMDB0124977","NA","NA","NA","NA","NA","0"
"HMDB0124976","NA","NA","NA","NA","NA","0"
"HMDB0126430","NA","NA","NA","NA","NA","0"
"HMDB0183406","NA","NA","NA","NA","NA","0"
"HMDB0167831","NA","NA","NA","NA","NA","0"
"HMDB0167833","NA","NA","NA","NA","NA","0"
"HMDB0140804","NA","NA","NA","NA","NA","0"
"HMDB0128031","NA","NA","NA","NA","NA","0"
"HMDB0062575","NA","NA","NA","NA","NA","0"
"HMDB0001235","5-Aminoimidazole ribonucleotide","HMDB0001235","161500","C03373","C1=C(N(C=N1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N","1"
